Bin,Omega,HistogramDD,HistogramDR,HistogramRR
63.25-63.50,-0.211661,15592054,23304049,25597964
63.50-63.75,-0.212361,15344688,23061356,25386852
63.75-64.00,-0.213861,15049276,22819955,25201096
64.00-64.25,-0.216357,14807128,22599684,24986284
64.25-64.50,-0.216982,14526556,22348315,24790906
64.50-64.75,-0.215469,14356078,22103385,24558990
64.75-65.00,-0.218868,14125022,21890178,24330228
65.00-65.25,-0.221186,13882894,21670049,24121794
65.25-65.50,-0.226987,13616790,21469226,23897280
65.50-65.75,-0.230613,13363068,21258805,23691068
65.75-66.00,-0.232617,13153854,21036762,23462016
66.00-66.25,-0.230857,12933730,20770174,23241222
66.25-66.50,-0.233637,12705908,20530323,22984674
66.50-66.75,-0.235655,12461692,20276925,22734622
66.75-67.00,-0.237710,12193674,20006498,22476438
67.00-67.25,-0.235950,11936884,19693121,22209114
67.25-67.50,-0.240952,11658574,19442950,21940684
67.50-67.75,-0.245154,11372820,19191540,21692310
67.75-68.00,-0.244876,11205848,18959857,21459052
68.00-68.25,-0.249412,10948318,18741360,21237508
68.25-68.50,-0.252830,10692950,18493036,20986986
68.50-68.75,-0.248326,10462616,18194637,20769142
68.75-69.00,-0.244509,10299382,17913674,20512472
69.00-69.25,-0.236226,10118480,17603921,20295128
69.25-69.50,-0.228499,9862332,17260752,20072600
69.50-69.75,-0.224292,9537696,16926026,19859934
69.75-70.00,-0.222068,9244936,16617807,19631220
70.00-70.25,-0.222642,9023458,16357669,19377608
70.25-70.50,-0.219724,8897920,16118162,19134174
70.50-70.75,-0.215738,8702412,15844467,18907466
70.75-71.00,-0.212226,8501814,15565029,18666686
71.00-71.25,-0.206759,8395034,15325338,18442490
71.25-71.50,-0.209174,8221770,15127823,18222250
71.50-71.75,-0.213517,8068982,14926026,17950364
71.75-72.00,-0.211207,7928720,14691780,17713610
72.00-72.25,-0.208768,7798972,14453175,17461888
72.25-72.50,-0.204735,7664652,14207281,17223630
72.50-72.75,-0.198408,7534842,13937517,16972678
72.75-73.00,-0.185358,7409948,13622551,16733468
73.00-73.25,-0.177156,7251582,13333436,16493390
73.25-73.50,-0.176585,7020564,13067371,16245470
73.50-73.75,-0.176480,6747810,12795141,16015968
73.75-74.00,-0.171595,6481880,12496998,15800776
74.00-74.25,-0.167562,6253418,12208793,15557346
74.25-74.50,-0.158673,6083382,11920947,15326590
74.50-74.75,-0.141625,5943028,11593479,15104720
74.75-75.00,-0.132298,5773858,11287883,14838774
75.00-75.25,-0.129521,5628152,11036697,14559484
75.25-75.50,-0.128092,5443092,10796602,14316308
75.50-75.75,-0.128922,5260074,10562869,14053814
75.75-76.00,-0.131174,5036380,10315063,13785456
76.00-76.25,-0.128373,4799946,10042436,13545982
76.25-76.50,-0.111461,4630566,9694049,13277600
76.50-76.75,-0.082161,4506100,9303975,13031200
76.75-77.00,-0.059653,4352142,8965337,12814136
77.00-77.25,-0.043080,4244232,8676096,12566586
77.25-77.50,-0.029948,4169282,8423232,12308562
77.50-77.75,-0.021448,4052378,8175141,12039676
77.75-78.00,-0.012492,3945042,7933327,11774530
78.00-78.25,-0.003288,3834316,7699654,11527088
78.25-78.50,0.006989,3768498,7469682,11249486
78.50-78.75,0.011121,3657770,7266111,10996746
78.75-79.00,0.013916,3580700,7099200,10767544
79.00-79.25,0.014282,3464510,6913996,10513640
79.25-79.50,0.006889,3321132,6751637,10252776
79.50-79.75,-0.007614,3183706,6618103,9976540
79.75-80.00,-0.016824,3018962,6461765,9740690
80.00-80.25,-0.016041,2952518,6304371,9503770
80.25-80.50,-0.016063,2908238,6156601,9256276
80.50-80.75,-0.029118,2821214,6035686,8988434
80.75-81.00,-0.038486,2726378,5903991,8745040
81.00-81.25,-0.043033,2639090,5769140,8532034
81.25-81.50,-0.054644,2526392,5630672,8282368
81.50-81.75,-0.061492,2433658,5479599,8031656
81.75-82.00,-0.075765,2349166,5354465,7770992
82.00-82.25,-0.086376,2258126,5217870,7527424
82.25-82.50,-0.098593,2147720,5069906,7274846
82.50-82.75,-0.106086,2036578,4908734,7034614
82.75-83.00,-0.089524,1971528,4689345,6798532
83.00-83.25,-0.086852,1883944,4517602,6579794
83.25-83.50,-0.085565,1827244,4348309,6327928
83.50-83.75,-0.087123,1722408,4165867,6079646
83.75-84.00,-0.082171,1635218,3965275,5817316
84.00-84.25,-0.076857,1558696,3781536,5575832
84.25-84.50,-0.074805,1493976,3607678,5323178
84.50-84.75,-0.078526,1393966,3434133,5075726
84.75-85.00,-0.067244,1320248,3249067,4851642
85.00-85.25,-0.067720,1216248,3078417,4627228
85.25-85.50,-0.087211,1087664,2930580,4390590
85.50-85.75,-0.081306,996692,2751084,4166700
85.75-86.00,-0.067461,904710,2563455,3955366
86.00-86.25,-0.061101,830200,2391020,3724284
86.25-86.50,-0.073643,759496,2248340,3480844
86.50-86.75,-0.082820,691284,2109278,3257488
86.75-87.00,-0.113797,611938,1977201,3000964
87.00-87.25,-0.126067,550658,1837374,2774338
87.25-87.50,-0.113927,508754,1672743,2546606
87.50-87.75,-0.095005,460836,1487819,2296612
87.75-88.00,-0.103138,398750,1331963,2053394
88.00-88.25,-0.111921,349104,1185624,1818604
88.25-88.50,-0.158689,286514,1038218,1544782
88.50-88.75,-0.205373,228326,892733,1291832
88.75-89.00,-0.189102,177686,715978,1054804
89.00-89.25,-0.156321,115580,528682,814466
89.25-89.50,-0.127286,59824,363504,591850
89.50-89.75,-0.120832,21312,214579,363878
